Entity,Code,Year,Coal (terawatt-hours),Solar (terawatt-hours),Crude oil (terawatt-hours),Natural gas (terawatt-hours),Traditional biofuels (terawatt-hours),Other renewables (terawatt-hours),Hydropower (terawatt-hours),Nuclear (terawatt-hours),Wind (terawatt-hours)
World,OWID_WRL,1800,97.2223,0,0,0,5555.555556,0,0,0,0
World,OWID_WRL,1810,127.77788,0,0,0,5833.333333,0,0,0,0
World,OWID_WRL,1820,152.7779,0,0,0,6111.111111,0,0,0,0
World,OWID_WRL,1830,263.8891,0,0,0,6388.888889,0,0,0,0
World,OWID_WRL,1840,355.55584,0,0,0,6944.444444,0,0,0,0
World,OWID_WRL,1850,569.4449,0,0,0,7222.222222,0,0,0,0
World,OWID_WRL,1860,1061.11196,0,0,0,6944.444444,0,0,0,0
World,OWID_WRL,1870,1641.66798,0,5.55556,0,6944.444444,0,0,0,0
World,OWID_WRL,1880,2541.6687,0,33.33336,0,6944.444444,0,0,0,0
World,OWID_WRL,1890,3855.55864,0,88.88896,33.33336,6666.666667,0,13.88888889,0,0
World,OWID_WRL,1900,5727.78236,0,180.5557,63.88894,6111.111111,0,16.66666667,0,0
World,OWID_WRL,1910,8655.56248,0,397.22254,141.66678,6388.888889,0,33.33333333,0,0
World,OWID_WRL,1920,9833.3412,0,888.8896,233.33352,6944.444444,0,63.88888889,0,0
World,OWID_WRL,1930,10125.0081,0,1755.55696,602.77826,7222.222222,0,130.5555556,0,0
World,OWID_WRL,1940,11586.12038,0,2652.7799,875.0007,7222.222222,0,191.6666667,0,0
World,OWID_WRL,1950,12602.78786,0,5444.4488,2091.66834,7500,0,333.3333333,0,0
World,OWID_WRL,1960,15441.67902,0,11097.2311,4472.2258,8888.888889,0,688.8888889,0,0
World,OWID_WRL,1965,16151.96017,0,18054.69004,6306.370076,9162.456946,17.9852321,919.7702757,25.78689584,0
World,OWID_WRL,1966,16332.01679,0,19442.23715,6871.686791,9218.172711,19.8060069,986.2858717,34.57627093,0
World,OWID_WRL,1967,16071.18119,0,20830.13575,7377.525476,9274.227277,19.98657074,1009.244569,42.4078552,0
World,OWID_WRL,1968,16312.60576,0,22613.21746,8046.478672,9330.622704,22.1200451,1059.06286,52.52310447,0
World,OWID_WRL,1969,16825.99292,0,24534.98916,8835.591838,9387.361065,23.25796438,1122.442526,63.43876256,0
World,OWID_WRL,1970,17065.27113,0,26649.8116,9614.414364,9444.444444,25.69319599,1174.560348,78.40661173,0
World,OWID_WRL,1971,16971.04648,0,28233.71612,10289.89468,9498.581964,27.87916846,1221.63273,110.0047304,0
World,OWID_WRL,1972,17161.86462,0,30399.20981,10858.55694,9553.029811,29.87710082,1276.766396,150.8970728,0
World,OWID_WRL,1973,17673.14043,0,32775.00958,11374.03922,9607.789765,32.08492382,1292.752251,202.6554947,0
World,OWID_WRL,1974,17687.80045,0,32299.54837,11652.60482,9662.863614,33.95881358,1419.046721,263.3878734,0
World,OWID_WRL,1975,18031.66073,0,31973.18489,11657.59717,9718.253158,34.48367863,1440.451903,364.3608367,0
World,OWID_WRL,1976,18688.42129,0,34064.96456,12350.85663,9773.960206,38.46095587,1435.228335,433.3928498,0
World,OWID_WRL,1977,19241.4531,0,35224.40759,12756.89778,9829.986579,40.56255723,1472.559263,535.421645,0
World,OWID_WRL,1978,19456.78595,0,36354.28057,13291.68232,9886.334106,42.96747784,1588.704502,619.3130172,0
World,OWID_WRL,1979,20359.51044,0,36953.1491,14121.9509,9943.00463,46.16932882,1667.584671,639.6327497,0
World,OWID_WRL,1980,20856.53098,0,35506.32689,14238.31962,10000,49.38536385,1698.609443,711.3538908,0
World,OWID_WRL,1981,21148.79702,0,34228.87205,14395.89609,10105.91751,53.15454248,1725.232746,835.9370357,0
World,OWID_WRL,1982,21384.22049,0,33177.85701,14473.22634,10212.95688,61.37055642,1796.883172,916.6454617,0
World,OWID_WRL,1983,22040.19421,0,32981.31709,14706.11331,10321.12997,68.01793274,1879.268978,1029.398713,0
World,OWID_WRL,1984,22997.47253,0,33746.54047,15912.38739,10430.44881,76.00921831,1941.059184,1244.32029,0
World,OWID_WRL,1985,23906.3229,0,33792.84203,16263.14014,10540.92553,77.79223118,1979.586782,1489.132866,0.064220202
World,OWID_WRL,1986,24182.95534,0,34819.31693,16421.36448,10652.57239,85.57913281,2006.719694,1594.949344,0.138831313
World,OWID_WRL,1987,25145.10228,0,35532.11408,17289.17958,10765.40179,91.64285434,2034.519979,1734.946796,0.195376768
World,OWID_WRL,1988,25889.97449,0,36735.8996,18083.52241,10879.42625,94.28072727,2099.11293,1891.48684,0.331579798
World,OWID_WRL,1989,26152.07667,0,37343.11239,18902.85595,10994.65842,104.0343128,2086.54264,1945.242865,2.649776768
World,OWID_WRL,1990,25845.88485,0,37736.94729,19486.64542,11111.11111,116.4628246,2161.045291,2000.642591,3.632470516
World,OWID_WRL,1991,25561.41954,0.505223075,37763.14824,19984.58677,11242.7549,121.4122701,2213.110915,2096.356868,4.086706675
World,OWID_WRL,1992,25478.81089,0.468615413,38422.53103,20076.92098,11375.95839,130.3448548,2211.503167,2112.277946,4.733212019
World,OWID_WRL,1993,25580.92144,0.556737928,38179.42324,20275.09431,11510.74008,134.7069628,2344.266136,2185.016841,5.697568819
World,OWID_WRL,1994,25729.64169,0.60006443,39021.80173,20405.36342,11647.11865,139.8004029,2359.685227,2226.050783,7.122929844
World,OWID_WRL,1995,25867.8533,0.640874386,39555.43054,21121.78818,11785.11302,145.5958811,2488.983207,2322.592422,8.261923444
World,OWID_WRL,1996,26516.28457,0.705278679,40480.1731,22143.41796,11924.74234,149.6884804,2523.481143,2407.002623,9.204610762
World,OWID_WRL,1997,26549.71899,0.756655499,41544.67299,22082.05319,12066.02598,160.9528063,2569.633113,2390.480054,12.01757667
World,OWID_WRL,1998,26351.79429,0.880289501,41768.48384,22485.93806,12208.98355,168.4548712,2590.551798,2431.571247,15.91490057
World,OWID_WRL,1999,26492.77461,0.965823997,42510.09274,23107.57158,12414.05573,177.1371664,2608.338262,2524.546817,21.21534431
World,OWID_WRL,2000,27403.94562,1.177935576,43038.62001,24019.89227,12500,185.2722028,2654.953445,2580.976669,31.41996387
World,OWID_WRL,2001,27851.05371,1.463956125,43421.10755,24367.11133,12500,191.0179267,2586.668594,2653.821898,38.39098735
World,OWID_WRL,2002,28936.6423,1.831247734,43796.55068,25108.12839,12470,205.6996386,2633.835653,2696.204132,52.33180737
World,OWID_WRL,2003,31475.58334,2.3293707,44803.21017,25769.17552,12328.70237,217.2027959,2629.430399,2641.599256,62.91691456
World,OWID_WRL,2004,33656.31109,3.054656084,46503.96733,26752.16794,12159.75217,234.3682046,2808.226932,2757.124087,85.11605376
World,OWID_WRL,2005,36118.94545,4.249617769,47115.72728,27537.09099,12076.14729,254.3922875,2918.064831,2769.046942,104.0868359
World,OWID_WRL,2006,37979.81684,5.818328387,47732.19992,28347.57835,11993.11724,271.7633551,3030.307944,2803.605088,132.8592792
World,OWID_WRL,2007,40143.91171,7.864870878,48471.73162,29580.25097,11910.65806,294.2977297,3079.79887,2746.479825,170.6860872
World,OWID_WRL,2008,40712.5427,12.72162081,48250.64229,30321.37836,11828.76583,314.3656167,3263.589026,2737.860822,220.5696719
World,OWID_WRL,2009,40088.33994,21.09259048,47422.36853,29477.9263,11747.43666,338.2157334,3253.601171,2699.245242,275.9292658
World,OWID_WRL,2010,41932.74507,33.82948514,48949.72046,31759.12422,11666.66667,378.0383427,3435.905581,2767.507814,341.5652412
World,OWID_WRL,2011,43948.96889,65.21188479,49455.27172,32410.44868,11553.3766,397.4546676,3503.227091,2651.771616,436.8034429
World,OWID_WRL,2012,44129.62497,100.9252749,50065.86499,33270.53388,11441.18663,430.3624386,3671.297583,2472.44864,523.8148612
World,OWID_WRL,2013,44953.01385,139.0442186,50698.38455,33714.94785,11330.0861,463.9825019,3797.954118,2491.705601,645.7219776
World,OWID_WRL,2014,44916.83781,197.6716635,51109.97172,33986.84723,11220.06442,504.3899227,3887.930335,2541.027341,712.4070431
World,OWID_WRL,2015,43786.8458,260.0058008,52053.27008,34741.88349,11111.11111,538.2067786,3891.408797,2575.664304,831.8262454
World,OWID_WRL,2016,43101.23216,328.1826964,53001.86598,35741.82987,11003.2158,556.9861292,4036.073668,2612.83283,959.4687163
World,OWID_WRL,2017,43397.13549,442.6183606,53752.27638,36703.96587,10895.32049,586.1710901,4059.868393,2635.561104,1122.74585
